WellId,Well_ColId,Well_RowId,S,T,Z,C,area,centroid-0,centroid-1,max_intensity,mean_intensity,min_intensity,bbox-0,bbox-1,bbox-2,bbox-3
A1,1,1,0,0,0,0,172,402.9186046511628,222.20348837209303,5560.0,4020.9883720930234,2501.0,397,211,410,231
A1,1,1,0,0,0,0,39,403.64102564102564,494.71794871794873,11480.0,8594.384615384615,5789.0,400,491,408,498
A1,1,1,0,0,0,0,55,403.45454545454544,778.7454545454545,8276.0,6787.472727272727,5858.0,400,775,409,783
A1,1,1,0,0,0,0,82,406.0731707317073,434.1219512195122,8070.0,6613.219512195122,5426.0,402,429,411,440
A1,1,1,0,0,0,0,137,410.02919708029196,247.5985401459854,5328.0,4385.240875912409,3209.0,404,240,417,256
A1,1,1,0,0,0,0,81,409.01234567901236,73.74074074074075,8388.0,6792.481481481482,4830.0,406,67,414,82
A1,1,1,0,0,0,0,155,412.63870967741934,519.8903225806451,9590.0,7572.258064516129,6028.0,407,512,420,528
A1,1,1,0,0,0,0,170,413.97058823529414,944.0764705882353,8368.0,6880.382352941177,4565.0,407,935,421,953
A1,1,1,0,0,0,0,137,416.6350364963504,742.1240875912408,6895.0,5092.226277372263,3106.0,409,736,425,749
A1,1,1,0,0,0,0,41,416.2682926829268,478.2682926829268,3487.0,2252.560975609756,1534.0,413,473,422,484
A1,1,1,0,0,0,0,81,420.91358024691357,107.27160493827161,8870.0,6908.456790123457,4356.0,415,103,427,113
A1,1,1,0,0,0,0,139,421.63309352517985,587.5323741007194,6857.0,5000.503597122302,2643.0,416,580,428,596
A1,1,1,0,0,0,0,124,425.241935483871,732.2741935483871,5876.0,4462.120967741936,2820.0,419,726,433,740
A1,1,1,0,0,0,0,150,427.61333333333334,439.5466666666667,5486.0,4224.133333333333,2888.0,420,432,437,447
A1,1,1,0,0,0,0,113,426.07964601769913,55.51327433628319,6786.0,5696.6814159292035,4187.0,421,49,432,63
A1,1,1,0,0,0,0,85,429.21176470588233,306.5529411764706,7814.0,6505.094117647059,4899.0,423,300,435,313
A1,1,1,0,0,0,0,94,433.4574468085106,970.6914893617021,7846.0,6198.393617021276,4785.0,427,966,441,976
A1,1,1,0,0,0,0,90,432.6222222222222,391.47777777777776,7406.0,6080.688888888889,4133.0,427,386,439,398
A1,1,1,0,0,0,0,61,435.672131147541,902.016393442623,9708.0,8759.72131147541,7439.0,431,897,441,908
A1,1,1,0,0,0,0,150,437.00666666666666,79.64,9586.0,6903.3533333333335,4849.0,433,70,444,90
A1,1,1,0,0,0,0,138,442.3333333333333,37.44202898550725,5811.0,4431.920289855072,3094.0,436,30,449,45
A1,1,1,0,0,0,0,88,442.59090909090907,129.92045454545453,7920.0,6234.318181818182,4028.0,439,124,447,138
A1,1,1,0,0,0,0,70,443.5571428571429,859.9857142857143,11767.0,10383.4,8541.0,439,856,449,865
A1,1,1,0,0,0,0,113,447.49557522123894,443.42477876106193,6208.0,4821.283185840708,2768.0,441,437,454,451
A1,1,1,0,0,0,0,207,452.77294685990336,185.85507246376812,6956.0,5748.555555555556,4450.0,443,179,463,193
